-89	-125
207	-28
45	-120
-344	-243
-123	-317
15	-69
-378	385
-315	-414
-199	-319
-422	118
-306	-61
47	-106
347	-27
305	100
230	23
-182	210
-763	346
-598	10
138	62
147	-214
146	-114
-171	-20
-197	-46
-55	462
-287	197
101	-265
-24	152
-184	471
-196	90
-222	-345
-93	-682
-83	-102
127	-100
38	-198
-222	340
-105	-298
-64	-811
72	-50
425	421
209	643
67	414
281	389
407	334
292	-7
530	304
586	966
203	395
255	-64
237	165
-23	149
57	378
-70	-127
35	-403
-58	152
-408	45
-306	-213
-300	613
158	693
91	281
-108	195
-133	58
-583	-45
-421	423
180	548
-59	87
14	-340
449	-324
271	-276
67	18
417	361
91	364
102	-147
332	-180
85	-184
68	-454
369	-256
-111	90
-166	417
331	363
226	84
319	-152
336	-283
121	122
-333	758
-156	411
-63	-138
-37	-191
558	-178
646	-134
-191	-10
-465	-82
82	115
148	313
-432	23
-390	-2
91	405
72	393
-430	252
91	-195
444	-322
135	-308
167	-326
618	117
747	413
354	328
-266	71
-138	-117
268	-272
387	200
-25	327
-35	28
62	-224
-432	-621
-266	-375
155	-506
90	-99
-83	-83
228	-694
216	-472
88	-247
52	-74
74	-90
-220	247
-249	524
-111	-99
-352	-45
-503	170
54	99
317	168
195	328
388	39
705	-291
451	18
-42	252
-52	320
-504	-320
-265	-313
-243	-75
-60	-342
406	-329
146	209
-163	223
-37	-80
-192	207
-351	-229
24	214
-83	486
47	43
-145	-384
-146	-453
486	268
572	433
86	-179
-324	-628
-210	-617
-131	-210
-101	-505
-58	-583
382	-502
210	-368
-123	-530
54	-651
116	-212
152	-338
-282	-488
-76	115
520	603
373	455
-45	203
-354	311
-274	-40
-157	-363
-186	-263
-260	-105
-346	31
321	-69
120	73
143	-83
430	10
254	307
-586	272
-550	272
-28	-30
196	-380
389	-349
189	-234
190	149
498	210
311	56
160	260
352	266
542	638
-50	688
-433	364
-46	-262
257	-348
288	-55
-394	213
-569	-211
-220	-241
-131	-150
166	-363
-186	-80
-408	26
35	189
359	703
273	437
47	115
-345	142
-344	228
371	210
495	85
-41	-168
-238	362
34	390
287	-44
-32	-3
162	168
-16	422
-255	361
-301	599
-216	-143
204	-674
815	416
758	619
109	-76
-380	161
-454	299
-36	-56
217	-131
447	276
560	-39
92	-253
-231	383
-114	103
-104	-701
-222	-717
-95	-453
284	-122
232	-544
-392	-87
-731	140
-250	-221
-145	-175
-319	-126
116	169
404	374
131	111
154	-66
-385	-177
-126	-136
121	77
-287	256
-15	16
359	-269
-390	-501
-87	-763
412	-224
-82	-240
303	-627
859	-505
114	-115
228	251
832	342
268	112
-485	174
42	351
678	16
513	-169
-50	-356
-257	-290
316	182
-47	76
-344	34
-192	-292
116	-482
-26	-156
99	-52
94	-262
6	-329
-272	414
-327	156
-312	-239
96	-433
88	-135
35	582
322	497
106	264
-336	21
-164	171
-64	286
75	-8
-115	585
-236	648
68	207
-21	37
-163	-37
-286	-250
-421	-465
-486	-84
-220	118
-191	-366
179	-176
278	440
-337	12
2	-68
282	760
92	637
-118	87
-661	-273
-147	-327
204	-56
-403	117
-213	462
89	435
-344	263
93	384
16	512
-133	69
-168	-209
18	-468
158	-316
-46	-272
327	-576
601	-421
244	-85
-288	11
-246	-63
161	-355
669	-8
681	100
311	-434
108	-370
-156	-285
275	-338
697	-295
371	-66
